Gender,SeniorCitizen,Partner,Dependents,Tenure_Months,PhoneService,InternetService,MonthlyCharges,TotalCharges,Contract,PaymentMethod,PaperlessBilling,StreamingTV,StreamingMovies,TechSupport,OnlineSecurity,OnlineBackup,DeviceProtection,MultipleLines
Male,0,Yes,Yes,15,Yes,No,22.5,315.0,One year,Electronic check,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
Male,1,No,No,36,Yes,DSL,100.94,3584.49,Month-to-month,Bank transfer,Yes,Yes,No,Yes,No,No,No,Yes
Male,1,No,Yes,69,Yes,No,32.48,2283.35,Month-to-month,Electronic check,Yes,No,Yes,Yes,Yes,No,No,No
Female,0,Yes,Yes,21,Yes,DSL,57.02,1168.37,One year,Credit card,No,Yes,No,Yes,Yes,Yes,No,No
Female,0,No,No,9,Yes,No,41.1,414.19,One year,Mailed check,No,Yes,Yes,No,No,No,No,Yes
Male,0,Yes,No,66,Yes,No,69.35,4602.68,Month-to-month,Credit card,No,No,No,Yes,Yes,No,No,Yes
Female,0,Yes,No,56,Yes,No,35.82,1956.24,Two year,Mailed check,Yes,No,Yes,Yes,No,No,Yes,Yes
Male,0,No,Yes,40,Yes,No,43.95,1732.09,Month-to-month,Mailed check,No,Yes,No,No,Yes,Yes,No,No
Male,0,Yes,No,57,Yes,DSL,109.96,6262.87,Two year,Mailed check,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Male,0,No,Yes,66,Yes,Fiber optic,43.8,2907.7,One year,Mailed check,Yes,Yes,No,No,No,No,No,Yes
Male,0,Yes,Yes,8,Yes,No,60.26,466.01,One year,Mailed check,No,Yes,No,No,Yes,Yes,No,Yes
Male,0,No,No,70,Yes,Fiber optic,103.6,7298.9,Month-to-month,Credit card,Yes,Yes,No,Yes,No,No,No,No
Male,1,Yes,Yes,72,Yes,No,86.19,6204.35,Two year,Electronic check,No,Yes,Yes,No,Yes,Yes,Yes,Yes
Male,0,Yes,Yes,9,Yes,Fiber optic,87.52,761.2,Two year,Bank transfer,No,Yes,No,Yes,No,No,Yes,No
Male,1,Yes,Yes,41,Yes,No,112.9,4672.47,Month-to-month,Bank transfer,Yes,No,Yes,Yes,No,No,Yes,No
Female,0,Yes,No,68,Yes,DSL,20.78,1444.75,Month-to-month,Mailed check,No,No,Yes,No,Yes,No,No,No
Male,0,No,Yes,12,Yes,No,83.43,1034.09,One year,Mailed check,No,No,Yes,Yes,Yes,Yes,Yes,No
Male,1,Yes,Yes,56,Yes,No,32.74,1814.27,Month-to-month,Bank transfer,No,Yes,Yes,Yes,Yes,No,Yes,Yes
Male,1,Yes,Yes,53,Yes,Fiber optic,100.22,5348.07,Month-to-month,Credit card,Yes,Yes,No,No,No,Yes,Yes,Yes
Female,1,No,No,52,Yes,DSL,52.83,2783.6,Month-to-month,Bank transfer,Yes,No,Yes,Yes,No,No,No,No
Male,1,Yes,Yes,50,Yes,Fiber optic,109.95,5466.51,One year,Electronic check,No,No,Yes,No,No,No,No,No
Female,0,No,No,71,Yes,No,32.73,2315.87,Month-to-month,Bank transfer,No,Yes,No,No,No,No,No,Yes
Female,0,Yes,No,22,Yes,DSL,85.89,1867.96,Month-to-month,Mailed check,Yes,Yes,Yes,No,Yes,No,No,Yes
Male,0,No,Yes,64,Yes,DSL,59.97,3802.84,Two year,Credit card,Yes,Yes,Yes,No,Yes,No,No,No
Female,1,No,Yes,71,Yes,No,64.59,4551.81,One year,Credit card,Yes,No,No,Yes,No,Yes,No,No
Female,0,Yes,Yes,70,Yes,Fiber optic,28.06,1929.28,One year,Bank transfer,No,No,Yes,Yes,No,No,Yes,No
Female,1,Yes,No,1,Yes,DSL,114.27,94.13,One year,Credit card,No,Yes,No,No,No,Yes,No,Yes
Male,1,Yes,No,51,Yes,DSL,79.19,4054.99,Month-to-month,Bank transfer,No,No,Yes,No,No,No,No,No
Male,1,Yes,Yes,33,Yes,No,103.49,3412.2,Month-to-month,Electronic check,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
Male,0,Yes,No,60,Yes,DSL,89.95,5423.69,Two year,Electronic check,No,No,No,Yes,Yes,Yes,Yes,No
Female,0,No,Yes,6,Yes,Fiber optic,54.72,321.16,One year,Electronic check,No,No,No,Yes,No,Yes,No,No
Female,0,Yes,No,56,Yes,Fiber optic,102.57,5753.17,Month-to-month,Credit card,No,No,Yes,No,No,Yes,No,Yes
Female,0,Yes,Yes,34,Yes,DSL,54.03,1875.05,Two year,Credit card,No,Yes,No,No,No,Yes,Yes,No
Female,1,No,No,52,Yes,No,89.18,4617.98,Two year,Bank transfer,No,No,No,No,No,Yes,Yes,Yes
Male,0,Yes,No,16,Yes,Fiber optic,94.29,1553.73,Two year,Bank transfer,Yes,Yes,No,Yes,No,Yes,No,Yes
Female,0,No,Yes,36,Yes,DSL,24.55,839.25,Two year,Bank transfer,No,No,No,No,Yes,Yes,No,No
Male,0,Yes,No,9,Yes,DSL,60.07,498.04,Month-to-month,Electronic check,No,Yes,No,No,No,No,No,No
